,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
10764,UEI-0,54.5955522,342.85714286,74.68159800000002,0.0634911178827406,3.7592597227230606,0.003195962708340177,1.7420731937703404
10765,UEI-0,54.5955522,400.0,47.395928000000005,0.00432890771442747,2.385776522236202,0.00021790493039862896,1.7420731937703404
10766,UEI-0,148.40433190000005,200.0,95.93099649999999,0.0007148849557834352,4.828894144754869,3.5985280077514175e-05,1.7420731937703404
10767,UEI-0,148.40433190000005,218.18181818,95.840926,0.002128391411378857,4.824360251373856,0.00010713718400865098,1.7420731937703404
10768,UEI-0,148.40433190000005,240.0,95.5854605,0.021673529950153092,4.8115008430267645,0.0010909839956946721,1.7420731937703404
10769,UEI-0,148.40433190000005,266.66666667,94.881488,0.02454650480211053,4.776064865007728,0.0012356013972307984,1.7420731937703404
10770,UEI-0,148.40433190000005,300.0,92.842827,0.040030729096533685,4.673444455283951,0.0020150333093285275,1.7420731937703404
10771,UEI-0,148.40433190000005,342.85714286,86.8703145,0.13746650801012686,4.372805123962868,0.006919673930730174,1.7420731937703404
10772,UEI-0,148.40433190000005,400.0,71.8142675,0.087414661610626,3.6149264418472895,0.004400206012842424,1.7420731937703404
10773,UEI-0,403.4,200.0,95.9667585,0.0017232192257569704,4.830694302354656,8.674196592330511e-05,1.7420731937703404
10774,UEI-0,403.4,218.18181818,95.925329,0.003985253818769248,4.828608858887277,0.00020060636846133703,1.7420731937703404
10775,UEI-0,403.4,240.0,95.8146445,0.006334969652653378,4.823037315241684,0.0003188843958580368,1.7420731937703404
10776,UEI-0,403.4,266.66666667,95.507261,0.004965303817496393,4.807564502099954,0.0002499393043540358,1.7420731937703404
10777,UEI-0,403.4,300.0,94.685215,0.010753679928285877,4.766185039142753,0.0005413097323574979,1.7420731937703404
10778,UEI-0,403.4,342.85714286,92.43798199999999,0.022880561225630768,4.653065706794321,0.0011517425249632114,1.7420731937703404
10779,UEI-0,403.4,400.0,86.035053,0.08206539881094001,4.330760430236694,0.004130939302868018,1.7420731937703404
10780,UFI-0,1.0,200.0,110.70829450000001,0.09461583707023652,4.851889486627633,0.004146623224781056,1.5167304594643505
10781,UFI-0,1.0,218.18181818,84.47332700000003,0.2009456050775925,3.702118698719167,0.00880661989296571,1.5167304594643505
10782,UFI-0,1.0,240.0,61.0625265,0.2632438338204711,2.6761195418132955,0.011536895184787444,1.5167304594643505
10783,UFI-0,1.0,266.66666667,41.0151005,0.15377804723854716,1.7975232642476109,0.006739459712937791,1.5167304594643505
10784,UFI-0,1.0,300.0,23.4734,0.15717993796283194,1.028742635678532,0.006888550600069726,1.5167304594643505
10785,UFI-0,1.0,342.85714286,10.906500999999999,0.02175767565711036,0.4779871081637319,0.0009535494901350127,1.5167304594643505
10786,UFI-0,1.0,400.0,4.3593585,0.007351789203996056,0.19105276411417227,0.00032219870162278797,1.5167304594643505
10787,UFI-0,2.7182494999999998,200.0,136.21191299999998,0.038813091219339874,5.969608254042231,0.0017010182487339775,1.5167304594643505
10788,UFI-0,2.7182494999999998,218.18181818,116.1216615,0.1466207123993625,5.0891351108437775,0.006425783146828817,1.5167304594643505
10789,UFI-0,2.7182494999999998,240.0,91.328393,0.0749660467278396,4.002548064068469,0.003285453683624409,1.5167304594643505
10790,UFI-0,2.7182494999999998,266.66666667,66.6732425,0.3301757333004628,2.9220141615055297,0.014470245218528657,1.5167304594643505
10791,UFI-0,2.7182494999999998,300.0,44.01621,0.09792580391296177,1.9290495577112712,0.004291685466032367,1.5167304594643505
10792,UFI-0,2.7182494999999998,342.85714286,24.5341895,0.18535036501852328,1.0752326791375155,0.008123144624687396,1.5167304594643505
10793,UFI-0,2.7182494999999998,400.0,11.1289535,0.02898642828117972,0.4877362868580532,0.0012703560041956365,1.5167304594643505
10794,UFI-0,7.3888803,200.0,154.446078,0.15528772021636975,6.768736755303115,0.006805622474115137,1.5167304594643505
10795,UFI-0,7.3888803,218.18181818,139.181454,0.240513886339207,6.099751029911745,0.010540735017077744,1.5167304594643505
10796,UFI-0,7.3888803,240.0,120.0062855,0.13602542439006948,5.259382213197083,0.005961435224821904,1.5167304594643505
10797,UFI-0,7.3888803,266.66666667,97.0980735,0.4110645064275197,4.255409444379502,0.018015267655138608,1.5167304594643505
10798,UFI-0,7.3888803,300.0,71.89258149999999,0.1262150249079065,3.1507563360247626,0.005531485740710394,1.5167304594643505
10799,UFI-0,7.3888803,342.85714286,47.268716,0.11516223881115766,2.0715935264162844,0.005047087558054495,1.5167304594643505
10800,UFI-0,7.3888803,400.0,25.661991,0.004296380802489599,1.1246595831067832,0.000188292710499068,1.5167304594643505
10801,UFI-0,20.0848201,200.0,170.1765945,0.15025665546822828,7.45814063393998,0.006585131586163039,1.5167304594643505
10802,UFI-0,20.0848201,218.18181818,156.3539845,0.014748126135192366,6.852352454836978,0.0006463497470177483,1.5167304594643505
10803,UFI-0,20.0848201,240.0,141.609121,0.07626005213739967,6.206145695709193,0.0033421646217768014,1.5167304594643505
10804,UFI-0,20.0848201,266.66666667,123.65285449999999,0.29932890707798504,5.419196343414419,0.013118355619645023,1.5167304594643505
10805,UFI-0,20.0848201,300.0,101.8976025,0.016904801817832688,4.46575307220826,0.0007408679772712122,1.5167304594643505
10806,UFI-0,20.0848201,342.85714286,76.94568699999998,0.0415057538420978,3.372213179534083,0.0018190265834237692,1.5167304594643505
10807,UFI-0,20.0848201,400.0,50.258355,0.2767997779225959,2.202617115013902,0.012130996493704985,1.5167304594643505
10808,UFI-0,54.5955522,200.0,183.2959615,0.5330333551143948,8.033108563000702,0.023360660945792627,1.5167304594643505
10809,UFI-0,54.5955522,218.18181818,169.93037800000005,0.1072384002211978,7.447349976806478,0.004699818283227922,1.5167304594643505
10810,UFI-0,54.5955522,240.0,157.4783405,0.04123210351777113,6.901628356703813,0.0018070336145358738,1.5167304594643505
10811,UFI-0,54.5955522,266.66666667,143.48791699999995,0.22158322359331514,6.288485601685414,0.009711081882536842,1.5167304594643505
10812,UFI-0,54.5955522,300.0,126.52892050000001,0.05664137449339185,5.545242494258583,0.002482358622304618,1.5167304594643505
10813,UFI-0,54.5955522,342.85714286,105.67190449999998,0.13199632995087182,4.631165214775026,0.005784856576957362,1.5167304594643505
10814,UFI-0,54.5955522,400.0,81.020554,0.03560424064630768,3.550797850592365,0.0015603875179494055,1.5167304594643505
